p,epsilon,nb
0.308016344,66.09469685,0.07
0.323356778,67.04345949,0.071
0.339231976,67.99222213,0.072
0.355649832,68.94137943,0.073
0.372616266,69.89093139,0.074
0.390143116,70.84048335,0.075
0.408234331,71.79042997,0.076
0.426897802,72.74037659,0.077
0.446143397,73.69071787,0.078
0.465977035,74.64145381,0.079
0.486404637,75.59218975,0.08
0.507436068,76.54332035,0.081
0.529077249,77.49484561,0.082
0.551336073,78.44637087,0.083
0.574216487,79.39829079,0.084
0.597728356,80.35040804,0.085
0.621877602,81.30291995,0.086
0.646672116,82.25582652,0.087
0.672115847,83.20873309,0.088
0.698216686,84.16203432,0.089
0.724980554,85.11573021,0.09
0.75241337,86.06962343,0.091
0.780523029,87.02391131,0.092
0.809313476,87.97839652,0.093
0.838792604,88.93327639,0.094
0.868964361,89.88855092,0.095
0.89983664,90.84402278,0.096
0.93141536,91.7998893,0.097
0.963704468,92.75595315,0.098
0.996709883,93.71260899,0.099
1.030437527,94.66926483,0.1
1.064893318,95.62651266,0.101
1.100081204,96.58395782,0.102
1.136009077,97.54179764,0.103
1.172678911,98.50003212,0.104
1.210098599,99.45866126,0.105
1.248270114,100.4176851,0.106
1.287203323,101.3769062,0.107
1.326898226,102.336522,0.108
1.367362716,103.2965324,0.109
1.408598766,104.2569375,0.11
1.450614269,105.2177373,0.111
1.493413173,106.1789317,0.112
1.536999423,107.1405208,0.113
1.581374994,108.1025046,0.114
1.626549751,109.064883,0.115
1.672523694,110.0274587,0.116
1.719302744,110.9906265,0.117
1.766890847,111.9541889,0.118
1.815291949,112.9181459,0.119
1.864509998,113.8824976,0.12
1.914550912,114.847244,0.121
1.96541864,115.812385,0.122
2.01710726,116.778118,0.123
2.069636506,117.7440484,0.124
2.123014271,118.7105707,0.125
2.177220822,119.6774877,0.126
2.232275892,120.6447994,0.127
2.288179481,121.6125057,0.128
2.344931589,122.5806067,0.129
2.402532216,123.5492997,0.13
2.461001095,124.5183873,0.131
2.520338226,125.4878696,0.132
2.580543609,126.4579439,0.133
2.641597511,127.4284128,0.134
2.703539398,128.3992764,0.135
2.76636927,129.3705347,0.136
2.690930011,128.3982897,0.135
2.751352457,129.369548,0.136
2.812524757,130.3412009,0.137
2.874466644,131.3134458,0.138
2.937138652,132.2860854,0.139
3.00059998,133.2591196,0.14
3.064850628,134.2325485,0.141
3.129870863,135.2065694,0.142
3.195680418,136.1809849,0.143
3.262279293,137.1557951,0.144
3.329687221,138.1311973,0.145
3.397904202,139.1069942,0.146
3.466930236,140.0831857,0.147
3.536765323,141.0599692,0.148
3.607409463,142.0371474,0.149
3.678902122,143.0149175,0.15
3.751203834,143.9930823,0.151
3.824354065,144.9718391,0.152
3.898313349,145.9509906,0.153
3.973140885,146.9305367,0.154
4.048797207,147.9106748,0.155
4.125302048,148.8914049,0.156
4.202655408,149.8725297,0.157
4.280857287,150.8540491,0.158
4.359927418,151.8361605,0.159
4.439865801,152.8188639,0.16
4.520652703,153.801962,0.161
4.602307857,154.7854547,0.162
4.684831263,155.7695394,0.163
4.768242654,156.7542161,0.164
4.852522297,157.7392874,0.165
4.937670192,158.7249508,0.166
5.023706072,159.7112061,0.167
5.110629937,160.6978561,0.168
5.198441787,161.6850981,0.169
5.287141622,162.6727348,0.17
5.376729442,163.6611607,0.171
5.46722498,164.649784,0.172
5.558608503,165.6391967,0.173
5.650899744,166.6290039,0.174
5.74407897,167.6194032,0.175
5.838185647,168.6101971,0.176
5.933180309,169.6017804,0.177
6.029102422,170.5937583,0.178
6.125932253,171.5861309,0.179
6.223669802,172.5792928,0.18
6.322334802,173.5728493,0.181
6.42190752,174.5669979,0.182
6.522427422,175.5617384,0.183
6.623855042,176.5570709,0.184
6.726210113,177.5527981,0.185
6.829492635,178.5491173,0.186
6.933702608,179.5460284,0.187
7.038859765,180.5435316,0.188
7.144944373,181.5416267,0.189
7.251956432,182.5403138,0.19
7.359915675,183.5393956,0.191
7.468822102,184.5392667,0.192
7.578675713,185.5395325,0.193
7.689456775,186.5403903,0.194
7.801204754,187.54184,0.195
7.913880184,188.5438818,0.196
8.027522531,189.5465155,0.197
8.142112062,190.5497412,0.198
8.25766851,191.5533616,0.199
8.374172142,192.5577713,0.2
8.491622958,193.562773,0.201
8.610040691,194.5681693,0.202
8.729425341,195.574355,0.203
8.849776908,196.5811327,0.204
8.971095392,197.5885023,0.205
9.093380793,198.5968586,0.206
9.216633111,199.6052149,0.207
9.340852346,200.6135712,0.208
9.466038498,201.6239008,0.209
9.5922113,202.6342304,0.21
9.719351019,203.64456,0.211
9.847477388,204.6568629,0.212
9.976590407,205.6691658,0.213
10.10667034,206.6814687,0.214
10.2377172,207.6937716,0.215
10.36977043,208.7080478,0.216
10.50281032,209.722324,0.217
10.63681712,210.7385735,0.218
10.77183031,211.7528497,0.219
10.90783014,212.7710725,0.22
11.04481663,213.787322,0.221
11.18278977,214.8055448,0.222
11.32176928,215.8237676,0.223
11.46173545,216.8419904,0.224
11.60270801,217.8621865,0.225
11.74466721,218.8823826,0.226
11.88763279,219.9025787,0.227
12.03160476,220.9227748,0.228
12.17656338,221.9449442,0.229
12.32254811,222.9690869,0.23
12.4695195,223.9912563,0.231
12.61749726,225.015399,0.232
12.76650115,226.0395417,0.233
12.91649168,227.0656577,0.234
13.06750833,228.0917737,0.235
13.21953136,229.1178897,0.236
13.37256078,230.145979,0.237
13.52661631,231.172095,0.238
13.68167822,232.2021576,0.239
13.83774652,233.2302469,0.24
13.99484093,234.2603095,0.241
14.15296146,235.2903721,0.242
14.3121081,236.322408,0.243
14.47226113,237.3524706,0.244
14.63344028,238.3864798,0.245
14.79564554,239.4185157,0.246
14.95887691,240.4525249,0.247
15.1231344,241.4865341,0.248
15.28841801,242.5225166,0.249
15.45472774,243.5584991,0.25
15.62206358,244.5944816,0.251
15.79042553,245.6304641,0.252
15.95983334,246.6684199,0.253
16.13026726,247.7063757,0.254
16.3017273,248.7463048,0.255
16.47423318,249.7862339,0.256
16.64776518,250.826163,0.257
16.82234303,251.8680654,0.258
16.997947,252.9099678,0.259
17.17459682,253.9518702,0.26
17.35229248,254.9937726,0.261
17.53101426,256.0376483,0.262
17.71080163,257.0834973,0.263
17.89161511,258.127373,0.264
18.07347443,259.173222,0.265
18.25635988,260.2210443,0.266
18.4403109,261.2668933,0.267
18.62530778,262.3166889,0.268
18.8113505,263.3645112,0.269
33.28976833,268.0293924,0.27
33.46539203,269.0930011,0.271
33.64042374,270.1566098,0.272
33.81466613,271.2202185,0.273
33.98831653,272.2838272,0.274
34.16157227,273.3474359,0.275
34.33463068,274.4130179,0.276
34.50729443,275.4785999,0.277
34.67995818,276.5441819,0.278
34.8524246,277.6097639,0.279
35.02469369,278.6773192,0.28
35.19716011,279.7429012,0.281
35.3694292,280.8104565,0.282
35.54189562,281.8780118,0.283
35.71436204,282.9475404,0.284
35.88702579,284.0150957,0.285
36.05968954,285.0846243,0.286
36.23255062,286.1541529,0.287
36.40560903,287.2236815,0.288
36.57866744,288.2951834,0.289
36.75212051,289.364712,0.29
36.92577091,290.4362139,0.291
37.09961864,291.5077158,0.292
37.27386103,292.5792177,0.293
37.44810342,293.6526929,0.294
37.62274047,294.7241948,0.295
37.79777218,295.79767,0.296
37.97300122,296.8711452,0.297
38.14842759,297.9446204,0.298
38.32424862,299.0200689,0.299
38.50046431,300.0935441,0.3
38.67707466,301.1689926,0.301
38.85388234,302.2444411,0.302
39.03108468,303.3218629,0.303
39.20848435,304.3973114,0.304
39.38647601,305.4747332,0.305
39.564665,306.552155,0.306
39.74324865,307.6295768,0.307
39.92222696,308.7069986,0.308
40.10159993,309.7863937,0.309
40.28136756,310.8657888,0.31
40.46152985,311.9432106,0.311
40.6420868,313.024579,0.312
40.82303841,314.1039741,0.313
41.00438468,315.1853425,0.314
41.18612561,316.2647376,0.315
41.3682612,317.3480793,0.316
41.55098878,318.4294477,0.317
41.73391369,319.5108161,0.318
41.91743059,320.5941578,0.319
42.10114482,321.6774995,0.32
42.28545104,322.7608412,0.321
42.47015192,323.8441829,0.322
42.65544479,324.9294979,0.323
42.84093499,326.0128396,0.324
43.02701718,327.0981546,0.325
43.21349403,328.1834696,0.326
43.40036554,329.2707579,0.327
43.58782904,330.3560729,0.328
43.7756872,331.4433612,0.329
43.96394002,332.5306495,0.33
44.1525875,333.6179378,0.331
44.34182697,334.7071994,0.332
44.5314611,335.7944877,0.333
44.72168722,336.8837493,0.334
44.912308,337.9730109,0.335
45.10332344,339.0642458,0.336
45.29493087,340.1535074,0.337
45.48693296,341.2447423,0.338
45.67952704,342.3359772,0.339
45.87251578,343.4272121,0.34
46.06589918,344.518447,0.341
46.25987457,345.6116552,0.342
46.45424462,346.7048634,0.343
46.64920666,347.7980716,0.344
46.84456336,348.8912798,0.345
47.04051205,349.984488,0.346
47.2368554,351.0796695,0.347
47.43379074,352.174851,0.348
47.63112074,353.2700325,0.349
47.8288454,354.365214,0.35
48.02735938,355.4623688,0.351
48.22607069,356.5595236,0.352
48.42557132,357.6566784,0.353
48.62526928,358.7538332,0.354
48.82575656,359.850988,0.355
49.0266385,360.9501161,0.356
